Designator,Mid X,Mid Y,Rotation,Layer
C1,134.2,-44.8,90.0,top
C2,121.5,-47.18,90.0,top
C3,133.2,-50.15,270.0,top
C4,160.3,-67.617817,270.0,top
C5,151.5,-63.5,0.0,top
C6,122.7,-46.8,90.0,top
C7,133.0,-44.225,90.0,top
D2,119.85,-50.05,180.0,top
R4,134.2,-50.15,270.0,top
R5,133.7,-46.2,0.0,top
R6,133.7,-47.2,180.0,top
U1,158.1,-66.817817,270.0,top
U2,127.85,-46.45,180.0,top
U3,141.6,-48.45,0.0,top
